drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders
actarit,0.15384615384615385,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.1282051282051282,0.0,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693,0.1794871794871795,0.0,0.0,0.0
actinomycin d,0.15595304639463387,0.01257685858021241,0.007825600894354388,0.010620458356623811,0.004192286193404136,0.002794857462269424,0.13331470095025152,0.11654555617663499,0.06959195081050866,0.003353828954723309,0.049748462828395755,0.06316377864728899,0.05002794857462269,0.021799888205701508,0.01369480156512018,0.06539966461710453,0.04779206260480715,0.004192286193404136,0.0,0.0072666294019005035,0.021799888205701508,0.005030743432084964,0.03577417551704863,0.05226383454443823,0.001397428731134712,0.006707657909446618,0.037171604248183346
acyclovir,0.02727447339778475,0.015141814456751392,0.003841475126448556,0.006914655227607401,0.001568602343299827,0.02045585504833856,0.09770151738267495,0.15237851334912605,0.019431461681285615,0.018471092899673476,0.0420961649273321,0.027114411934182726,0.047890389909725335,0.016038158652922723,0.02775465778859082,0.004289647224534221,0.11521224150073628,0.0033933030283628913,0.00793904859466035,0.05256418464690441,0.08310391190217044,0.006018311031436072,0.025993981688968566,0.1539791279851463,0.0014405531724182086,0.00262500800307318,0.019367437095844806
adapalene,8.907098957869422e-05,5.938065971912948e-05,0.00023752263887651793,0.00011876131943825896,5.938065971912948e-05,0.019298714408717083,0.0033253169442712506,0.04634660491078056,0.00011876131943825896,0.03037320744633473,0.005967756301772513,0.12110685549716457,0.0008313292360678127,5.938065971912948e-05,0.00026721296873608263,8.907098957869422e-05,0.008283602030818562,0.0004453549478934711,0.00011876131943825896,0.001039161545084766,2.969032985956474e-05,0.0001484516492978237,0.001959561770731273,0.7571331017487605,0.00020783230901695316,0.0006531872569104243,0.0016329681422760608
ademetionine,0.0035410764872521247,0.03824362606232295,0.002124645892351275,0.007790368271954674,0.0,0.0113314447592068,0.17988668555240794,0.21246458923512748,0.00424929178470255,0.019121813031161474,0.007790368271954674,0.007082152974504249,0.015580736543909348,0.004957507082152974,0.009206798866855524,0.000708215297450425,0.10198300283286119,0.00141643059490085,0.0028328611898017,0.04603399433427762,0.00141643059490085,0.002124645892351275,0.06373937677053824,0.17563739376770537,0.000708215297450425,0.000708215297450425,0.07932011331444759
adiphenine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
adrafinil,0.03048780487804878,0.0,0.0,0.006097560975609756,0.0,0.012195121951219513,0.06097560975609756,0.06707317073170732,0.036585365853658534,0.0,0.012195121951219513,0.04878048780487805,0.054878048780487805,0.036585365853658534,0.018292682926829267,0.0,0.17682926829268292,0.0,0.0,0.21951219512195122,0.024390243902439025,0.0,0.024390243902439025,0.1402439024390244,0.0,0.0,0.03048780487804878
adrenalone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
afatinib,0.009702049486193237,0.008611286526207015,0.0014926229978758827,0.0026982031115448646,0.0006889029220965612,0.016016992938745048,0.24019748550433434,0.09736494632298065,0.0046500947241517885,0.001148171536827602,0.09099259429358746,0.022389344968138238,0.03387106033641426,0.05551409380561456,0.018772604627131293,0.06785693782651128,0.037487800677421204,0.0,0.0005166771915724209,0.01176875825248292,0.01802629312819335,0.002813020265227625,0.0738848383948562,0.1699293874504851,0.0006889029220965612,0.003501923187324186,0.009415006601986338
afloqualone,0.0010116337885685382,0.00556398583712696,0.0005058168942842691,0.0025290844714213456,0.0,0.00556398583712696,0.48356095093576124,0.0753667172483561,0.0005058168942842691,0.0035407182599898838,0.0010116337885685382,0.0025290844714213456,0.0070814365199797676,0.008093070308548306,0.008093070308548306,0.0005058168942842691,0.18462316641375823,0.0,0.0,0.01618614061709661,0.01669195751138088,0.0035407182599898838,0.019221041982802226,0.14213454729387962,0.0,0.0,0.012139605462822459
agomelatine,0.008425245098039215,0.025122549019607844,0.002144607843137255,0.013480392156862746,0.0024509803921568627,0.0194546568627451,0.08884803921568628,0.10018382352941177,0.03431372549019608,0.003216911764705882,0.011488970588235295,0.06158088235294118,0.11917892156862746,0.02496936274509804,0.03201593137254902,0.004748774509803921,0.14276960784313725,0.003216911764705882,0.0007659313725490196,0.17708333333333334,0.013020833333333334,0.011182598039215686,0.012714460784313725,0.05897671568627451,0.007199754901960784,0.0044424019607843136,0.017003676470588234
ajmaline,0.0846774193548387,0.18548387096774194,0.0,0.004032258064516129,0.0,0.004032258064516129,0.03225806451612903,0.0846774193548387,0.34274193548387094,0.008064516129032258,0.008064516129032258,0.036290322580645164,0.06048387096774194,0.008064516129032258,0.008064516129032258,0.0,0.028225806451612902,0.0,0.0,0.012096774193548387,0.004032258064516129,0.0,0.024193548387096774,0.036290322580645164,0.0,0.0,0.028225806451612902
alacepril,0.013605442176870748,0.006802721088435374,0.0,0.006802721088435374,0.0,0.02040816326530612,0.06802721088435375,0.04081632653061224,0.0,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.0,0.006802721088435374,0.0,0.07482993197278912,0.0,0.0,0.0,0.006802721088435374,0.0,0.6326530612244898,0.08163265306122448,0.0,0.0,0.006802721088435374
alanine,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
albuterol,0.0030459814495439608,0.056406428307892956,0.0014843796923129724,0.0028743768608372588,0.0013041948741709353,0.010450719452238152,0.04275528327627481,0.17523402575784877,0.0017503668048083605,0.01323929401872206,0.042051704462577326,0.16019288355770633,0.030253888988991565,0.012535715205024582,0.01574472101383991,0.006186345422876608,0.08809321561258548,0.0019048109346443923,0.08094588449295134,0.03190987327001124,0.004907891237011678,0.0017503668048083605,0.13803015092623577,0.040713188670665056,0.004822088942658327,0.017992741125897705,0.013419478836864097
